,site_name,product_name,R2,RMSE,MASE,Obs
0,C5002,All,1.0,1.950492703016749e-13,4.873178864517735e-15,195
0,C5003,All,1.0,1.959211969614939e-13,1.3098695315999848e-14,201
0,C5004,All,1.0,3.4188039903422874e-14,1.6287366689314935e-15,228
0,C5006,All,1.0,9.349844027493413e-14,4.9872314702406634e-15,224
0,C5015,All,1.0,4.473157170055662e-12,2.3812502357969304e-14,72
0,C5016,All,1.0,3.6250599924797874e-14,4.8071019819828334e-15,179
0,C5017,All,1.0,3.612201860301875e-13,4.212959005358492e-15,119
0,C5018,All,1.0,5.235135901315172e-13,4.006687699767063e-14,196
0,C5019,All,1.0,1.2234527304761614e-13,5.9842785173475765e-15,127
0,C5020,All,1.0,2.7926630949784666e-14,2.1027322289699797e-15,198
0,C5021,All,1.0,2.9975619535202746e-13,3.473694615481436e-14,159
0,C5060,All,1.0,6.230607581782781e-14,2.0446270789413964e-15,152
0,C5063,All,1.0,1.7519990322489316e-13,5.52936553492102e-14,304
0,C5066,All,1.0,1.5088103159183718e-14,3.0570632574299312e-15,96
