,label,RMSE,MAE,MAPE,MASE
1,C1066 AS27138_Holt-Winters 3,11.86,6.27,inf,1.6
2,C1066 AS27138_FB Prophet,13.96,10.17,inf,2.6
0,C1067 AS27000_SARIMA,12.2,7.62,36.13,2.22
0,C1067 AS27132_SARIMA,1.88,1.67,inf,1.34
1,C1067 AS27132_Holt-Winters 3,2.34,1.2,inf,0.96
2,C1067 AS27132_FB Prophet,2.97,2.25,inf,1.8
0,C1067 AS27133_SARIMA,4.75,3.56,inf,inf
0,C1067 AS27134_SARIMA,1.11,0.93,inf,0.15
1,C1067 AS27134_Holt-Winters 3,1.13,0.68,inf,0.11
2,C1067 AS27134_FB Prophet,23.59,16.95,inf,2.71
0,C1067 AS27137_SARIMA,2.55,2.27,35.14,12.12
0,C1069 AS27000_SARIMA,46.09,40.22,inf,0.72
1,C1069 AS27000_Holt-Winters 3,25.13,19.36,inf,0.35
2,C1069 AS27000_FB Prophet,64.29,51.0,inf,0.91
0,C1069 AS27132_SARIMA,3.54,2.8,inf,1.16
1,C1069 AS27132_Holt-Winters 3,2.67,1.83,inf,0.76
2,C1069 AS27132_FB Prophet,3.83,3.0,inf,1.25
0,C1069 AS27133_SARIMA,17.52,14.92,36.34,0.87
0,C1069 AS27134_SARIMA,1.81,1.61,inf,0.64
1,C1069 AS27134_Holt-Winters 3,1.05,0.78,inf,0.31
2,C1069 AS27134_FB Prophet,3.75,2.79,inf,1.1
1,C1069 AS27137_Holt-Winters 3,5.31,4.36,35.26,0.51
0,C1069 AS27138_SARIMA,4.76,3.87,inf,1.63
1,C1069 AS27138_Holt-Winters 3,13.36,10.24,inf,4.31
2,C1069 AS27138_FB Prophet,8.82,7.03,inf,2.96
0,C1069 AS42018_SARIMA,1.46,0.85,inf,1.01
1,C1069 AS42018_Holt-Winters 3,1.72,1.23,inf,1.46
2,C1069 AS42018_FB Prophet,2.0,1.52,inf,1.8
0,C1070 AS27000_SARIMA,5.23,3.86,inf,1.61
1,C1070 AS27000_Holt-Winters 3,157.87,61.96,inf,25.75
2,C1070 AS27000_FB Prophet,6.64,5.63,inf,2.34
0,C1070 AS27132_SARIMA,2.33,1.95,inf,0.51
1,C1070 AS27132_Holt-Winters 3,1.74,1.2,inf,0.31
2,C1070 AS27132_FB Prophet,6.43,5.59,inf,1.47
0,C1070 AS27134_SARIMA,21.32,20.26,inf,1.42
1,C1070 AS27134_Holt-Winters 3,24.52,14.24,inf,1.0
2,C1070 AS27134_FB Prophet,41.96,26.11,inf,1.84
0,C1072 AS27000_SARIMA,11.02,8.04,inf,0.9
1,C1072 AS27000_Holt-Winters 3,3.27,1.77,inf,0.2
2,C1072 AS27000_FB Prophet,24.52,12.82,inf,1.43
0,C1072 AS27132_SARIMA,3.37,1.3,inf,4.17
1,C1072 AS27132_Holt-Winters 3,3.29,1.22,inf,3.89
2,C1072 AS27132_FB Prophet,3.46,1.33,inf,4.26
0,C1072 AS27133_SARIMA,13.51,11.32,inf,1.28
1,C1072 AS27133_Holt-Winters 3,9.8,6.92,inf,0.78
2,C1072 AS27133_FB Prophet,14.62,9.62,inf,1.09
0,C1072 AS27134_SARIMA,5.1,4.07,inf,0.52
1,C1072 AS27134_Holt-Winters 3,3.87,1.92,inf,0.25
2,C1072 AS27134_FB Prophet,9.64,6.13,inf,0.79
0,C1072 AS27137_SARIMA,2.86,1.84,inf,2.1
1,C1072 AS27137_Holt-Winters 3,2.74,1.58,inf,1.81
2,C1072 AS27137_FB Prophet,2.97,2.02,inf,2.31
0,C1072 AS27138_SARIMA,2.88,2.19,inf,1.59
1,C1072 AS27138_Holt-Winters 3,2.71,1.53,inf,1.12
2,C1072 AS27138_FB Prophet,3.63,2.64,inf,1.92
1,C1073 AS27000_Holt-Winters 3,7.34,5.55,11.75,0.17
0,C1073 AS27132_SARIMA,1.23,1.06,inf,0.5
1,C1073 AS27132_Holt-Winters 3,1.06,0.96,inf,0.45
2,C1073 AS27132_FB Prophet,1.93,1.53,inf,0.72
1,C1073 AS27133_Holt-Winters 3,25.98,21.13,23.93,1.03
0,C1073 AS27134_SARIMA,29.34,22.5,inf,0.95
1,C1073 AS27134_Holt-Winters 3,30.6,20.6,inf,0.87
2,C1073 AS27134_FB Prophet,46.89,37.66,inf,1.59
2,C1073 AS27137_FB Prophet,13.36,10.94,127.39,2.0
0,C1073 AS27138_SARIMA,8.59,7.33,44.24,0.68
2,C1074 AS27000_FB Prophet,25.48,20.32,127.22,1.03
0,C1074 AS27132_SARIMA,2.64,1.81,inf,0.94
1,C1074 AS27132_Holt-Winters 3,0.96,0.85,inf,0.44
2,C1074 AS27132_FB Prophet,5.55,4.14,inf,2.14
1,C1074 AS27133_Holt-Winters 3,5.09,4.93,214.94,0.86
0,C1074 AS27134_SARIMA,14.39,13.07,inf,1.08
1,C1074 AS27134_Holt-Winters 3,13.73,10.36,inf,0.85
2,C1074 AS27134_FB Prophet,24.77,21.65,inf,1.78
0,C1074 AS27137_SARIMA,11.8,10.71,inf,1.89
1,C1074 AS27137_Holt-Winters 3,8.77,7.69,inf,1.36
2,C1074 AS27137_FB Prophet,11.73,10.85,inf,1.92
0,C1074 AS27138_SARIMA,7.94,6.22,inf,1.75
1,C1074 AS27138_Holt-Winters 3,7.82,6.62,inf,1.86
2,C1074 AS27138_FB Prophet,9.4,7.72,inf,2.17
0,C1077 AS21126_SARIMA,2.12,1.24,inf,inf
0,C1077 AS27000_SARIMA,37.49,29.15,8.21,0.48
0,C1077 AS27132_SARIMA,31.17,25.11,inf,1.32
1,C1077 AS27132_Holt-Winters 3,33.69,27.96,inf,1.47
2,C1077 AS27132_FB Prophet,41.09,32.41,inf,1.71
1,C1077 AS27133_Holt-Winters 3,9.63,7.37,32.08,0.82
0,C1077 AS27134_SARIMA,9.41,5.99,inf,0.58
1,C1077 AS27134_Holt-Winters 3,8.83,6.89,inf,0.67
2,C1077 AS27134_FB Prophet,24.85,22.26,inf,2.16
0,C1077 AS27137_SARIMA,9.65,7.77,inf,1.74
1,C1077 AS27137_Holt-Winters 3,8.81,7.15,inf,1.6
2,C1077 AS27137_FB Prophet,11.64,9.89,inf,2.21
1,C1077 AS27138_Holt-Winters 3,8.36,7.0,62.85,1.82
1,C1077 AS27139_Holt-Winters 3,0.0,0.0,inf,0.01
2,C1077 AS27139_FB Prophet,1.57,1.27,inf,4.51
0,C1077 AS17005_SARIMA,0.29,0.1,inf,0.17
1,C1077 AS17005_Holt-Winters 3,0.18,0.18,inf,0.31
2,C1077 AS17005_FB Prophet,0.48,0.42,inf,0.74
0,C1077 AS46000_SARIMA,10.04,4.0,inf,0.63
1,C1077 AS46000_Holt-Winters 3,9.96,3.43,inf,0.54
2,C1077 AS46000_FB Prophet,16.84,10.8,inf,1.71
0,C1078 AS27000_SARIMA,33.67,25.5,20.5,0.38
0,C1078 AS27132_SARIMA,6.56,5.88,inf,0.42
1,C1078 AS27132_Holt-Winters 3,17.1,11.11,inf,0.8
2,C1078 AS27132_FB Prophet,43.75,31.83,inf,2.29
0,C1078 AS27133_SARIMA,29.58,26.55,87.56,1.26
0,C1078 AS27134_SARIMA,15.2,10.86,inf,0.23
1,C1078 AS27134_Holt-Winters 3,14.63,9.58,inf,0.2
2,C1078 AS27134_FB Prophet,51.83,46.36,inf,0.97
0,C1078 AS27137_SARIMA,3.42,2.3,inf,0.64
1,C1078 AS27137_Holt-Winters 3,3.58,2.74,inf,0.76
2,C1078 AS27137_FB Prophet,7.39,4.97,inf,1.38
0,C1078 AS27138_SARIMA,6.13,4.92,inf,3.15
1,C1078 AS27138_Holt-Winters 3,6.84,4.42,inf,2.83
2,C1078 AS27138_FB Prophet,7.1,5.69,inf,3.64
0,C1078 AS42018_SARIMA,0.5,0.33,inf,0.87
2,C1078 AS42018_FB Prophet,0.67,0.23,inf,0.62
0,C1080 AS27000_SARIMA,22.47,19.63,inf,0.47
1,C1080 AS27000_Holt-Winters 3,0.09,0.07,inf,0.0
2,C1080 AS27000_FB Prophet,73.05,59.42,inf,1.43
0,C1080 AS27132_SARIMA,5.51,3.3,inf,0.44
1,C1080 AS27132_Holt-Winters 3,0.04,0.04,inf,0.0
2,C1080 AS27132_FB Prophet,9.2,6.64,inf,0.88
0,C1080 AS27133_SARIMA,13.67,10.95,inf,0.44
1,C1080 AS27133_Holt-Winters 3,0.04,0.04,inf,0.0
2,C1080 AS27133_FB Prophet,43.63,28.53,inf,1.14
0,C1080 AS27134_SARIMA,4.55,2.92,inf,0.47
1,C1080 AS27134_Holt-Winters 3,0.03,0.03,inf,0.0
2,C1080 AS27134_FB Prophet,11.15,8.23,inf,1.32
0,C1080 AS27137_SARIMA,1.34,0.89,inf,0.14
1,C1080 AS27137_Holt-Winters 3,0.05,0.04,inf,0.01
2,C1080 AS27137_FB Prophet,10.88,8.76,inf,1.34
0,C1080 AS27138_SARIMA,1.27,0.87,inf,0.16
1,C1080 AS27138_Holt-Winters 3,0.0,0.0,inf,0.0
2,C1080 AS27138_FB Prophet,9.15,6.95,inf,1.29
0,C1082 AS27000_SARIMA,9.51,8.32,55.6,0.75
0,C1082 AS27132_SARIMA,3.61,2.59,inf,0.68
1,C1082 AS27132_Holt-Winters 3,2.03,1.52,inf,0.4
2,C1082 AS27132_FB Prophet,6.22,5.21,inf,1.37
0,C1082 AS27133_SARIMA,17.71,14.49,25.05,0.75
0,C1082 AS27134_SARIMA,14.63,11.67,inf,0.44
1,C1082 AS27134_Holt-Winters 3,19.31,17.48,inf,0.66
2,C1082 AS27134_FB Prophet,38.37,29.14,inf,1.09
0,C1082 AS27137_SARIMA,1.94,1.71,33.67,0.9
2,C1082 AS27138_FB Prophet,3.6,2.81,62.28,4.28
0,C1083 AS27000_SARIMA,2.4,1.35,inf,10.8
1,C1083 AS27000_Holt-Winters 3,2.57,1.45,inf,11.57
2,C1083 AS27000_FB Prophet,2.5,1.4,inf,11.19
1,C1083 AS27133_Holt-Winters 3,23.91,22.63,464.81,1.1
0,C1083 AS27138_SARIMA,2.0,0.67,inf,inf
1,C1083 AS27138_Holt-Winters 3,2.58,1.25,inf,inf
0,C1083 AS46000_SARIMA,29.41,23.68,inf,0.72
1,C1083 AS46000_Holt-Winters 3,30.45,27.31,inf,0.83
2,C1083 AS46000_FB Prophet,44.07,34.38,inf,1.04
0,C1084 AS27000_SARIMA,32.24,28.82,inf,1.59
1,C1084 AS27000_Holt-Winters 3,24.23,18.02,inf,1.0
2,C1084 AS27000_FB Prophet,33.62,29.56,inf,1.63
0,C1084 AS27132_SARIMA,10.1,8.25,inf,0.88
2,C1084 AS27132_FB Prophet,20.88,15.42,inf,1.64
0,C1084 AS27133_SARIMA,34.6,28.02,inf,1.48
1,C1084 AS27133_Holt-Winters 3,34.85,29.4,inf,1.56
2,C1084 AS27133_FB Prophet,47.36,34.34,inf,1.82
0,C1084 AS27134_SARIMA,37.49,31.44,inf,1.31
2,C1084 AS27134_FB Prophet,57.98,49.47,inf,2.06
0,C1084 AS27137_SARIMA,12.23,9.19,inf,1.28
1,C1084 AS27137_Holt-Winters 3,16.46,10.87,inf,1.51
2,C1084 AS27137_FB Prophet,15.68,12.41,inf,1.73
0,C1084 AS27138_SARIMA,19.2,15.97,inf,2.09
1,C1084 AS27138_Holt-Winters 3,12.53,9.83,inf,1.29
2,C1084 AS27138_FB Prophet,19.85,15.92,inf,2.09
0,C1084 AS42018_SARIMA,0.6,0.37,inf,0.25
1,C1084 AS42018_Holt-Winters 3,0.01,0.01,inf,0.0
2,C1084 AS42018_FB Prophet,1.4,0.73,inf,0.49
0,C1084 AS17005_SARIMA,1.41,0.89,inf,0.53
1,C1084 AS17005_Holt-Winters 3,0.04,0.04,inf,0.03
2,C1084 AS17005_FB Prophet,2.76,2.38,inf,1.41
0,C1086 AS27000_SARIMA,57.25,51.63,104.36,1.02
0,C1086 AS27132_SARIMA,31.69,25.82,inf,1.86
1,C1086 AS27132_Holt-Winters 3,34.19,30.58,inf,2.2
2,C1086 AS27132_FB Prophet,29.06,23.86,inf,1.72
1,C1086 AS27133_Holt-Winters 3,63.24,37.92,36.17,0.75
0,C1086 AS27134_SARIMA,68.08,57.98,inf,0.89
1,C1086 AS27134_Holt-Winters 3,58.01,45.67,inf,0.7
2,C1086 AS27134_FB Prophet,144.23,127.52,inf,1.95
2,C1086 AS27137_FB Prophet,15.37,10.2,53.72,4.03
1,C1086 AS27138_Holt-Winters 3,12.43,9.49,54.22,2.01
1,C1087 AS27000_Holt-Winters 3,48.43,38.45,75.5,0.73
0,C1087 AS27132_SARIMA,3.5,2.59,inf,1.4
1,C1087 AS27132_Holt-Winters 3,6.26,3.38,inf,1.83
2,C1087 AS27132_FB Prophet,4.31,3.51,inf,1.9
0,C1087 AS27133_SARIMA,79.29,59.71,inf,2.01
1,C1087 AS27133_Holt-Winters 3,80.48,67.18,inf,2.26
2,C1087 AS27133_FB Prophet,113.03,82.98,inf,2.8
0,C1087 AS27134_SARIMA,18.74,13.6,inf,0.57
1,C1087 AS27134_Holt-Winters 3,40.68,37.63,inf,1.58
2,C1087 AS27134_FB Prophet,51.5,45.37,inf,1.91
0,C1087 AS27137_SARIMA,4.82,3.56,32.57,1.02
0,C1087 AS27138_SARIMA,25.9,17.96,58.69,11.73
2,C1087 AS27139_FB Prophet,2.35,1.31,inf,4.19
0,C1087 AS42018_SARIMA,5.16,3.23,inf,2.88
2,C1087 AS42018_FB Prophet,7.92,5.86,inf,5.21
0,C1087 AS17005_SARIMA,1.19,0.88,inf,0.74
1,C1087 AS17005_Holt-Winters 3,0.12,0.12,inf,0.1
2,C1087 AS17005_FB Prophet,1.74,1.26,inf,1.06
1,C1087 AS46000_Holt-Winters 3,0.02,0.01,inf,0.0
2,C1087 AS46000_FB Prophet,33.44,25.99,inf,2.82
1,C1088 AS27000_Holt-Winters 3,12.76,10.84,104.65,0.32
0,C1088 AS27132_SARIMA,15.47,13.88,inf,0.42
1,C1088 AS27132_Holt-Winters 3,8.05,6.89,inf,0.21
2,C1088 AS27132_FB Prophet,31.89,25.08,inf,0.76
0,C1088 AS27133_SARIMA,145.26,124.81,184.06,1.07
0,C1088 AS27134_SARIMA,132.02,107.55,inf,0.83
1,C1088 AS27134_Holt-Winters 3,61.83,55.47,inf,0.43
2,C1088 AS27134_FB Prophet,230.6,167.0,inf,1.29
0,C1088 AS27137_SARIMA,13.25,11.83,44.39,0.75
0,C1088 AS27138_SARIMA,6.93,6.32,26.89,0.55
0,C1088 AS46000_SARIMA,47.75,34.99,inf,0.41
1,C1088 AS46000_Holt-Winters 3,14.73,7.15,inf,0.08
2,C1088 AS46000_FB Prophet,142.77,93.88,inf,1.1
0,C1089 AS27000_SARIMA,5.53,4.09,inf,1.22
1,C1089 AS27000_Holt-Winters 3,5.43,4.21,inf,1.26
2,C1089 AS27000_FB Prophet,6.39,5.16,inf,1.54
0,C1089 AS27132_SARIMA,0.6,0.5,inf,1.24
1,C1089 AS27132_Holt-Winters 3,0.66,0.44,inf,1.08
2,C1089 AS27132_FB Prophet,0.65,0.52,inf,1.28
0,C1089 AS27133_SARIMA,8.52,7.01,112.29,0.74
0,C1089 AS27134_SARIMA,13.64,11.71,inf,0.98
1,C1089 AS27134_Holt-Winters 3,19.43,14.92,inf,1.25
2,C1089 AS27134_FB Prophet,41.15,36.59,inf,3.06
0,C1089 AS27138_SARIMA,3.58,3.11,inf,1.95
1,C1089 AS27138_Holt-Winters 3,4.66,3.31,inf,2.08
2,C1089 AS27138_FB Prophet,4.95,3.78,inf,2.37
2,C1089 AS27139_FB Prophet,2.01,1.18,inf,4.71
0,C1090 AS21126_SARIMA,63.15,26.61,inf,inf
1,C1090 AS27000_Holt-Winters 3,96.12,59.6,36.55,1.84
0,C1090 AS27132_SARIMA,23.76,18.53,inf,1.96
1,C1090 AS27132_Holt-Winters 3,21.39,9.25,inf,0.98
2,C1090 AS27132_FB Prophet,31.3,23.0,inf,2.44
0,C1090 AS27133_SARIMA,45.22,37.39,inf,1.66
1,C1090 AS27133_Holt-Winters 3,92.47,82.24,inf,3.65
2,C1090 AS27133_FB Prophet,63.73,57.47,inf,2.55
0,C1090 AS27134_SARIMA,49.0,38.54,inf,1.5
1,C1090 AS27134_Holt-Winters 3,36.82,32.05,inf,1.25
2,C1090 AS27134_FB Prophet,50.86,47.08,inf,1.83
0,C1090 AS27137_SARIMA,2.42,1.9,inf,0.49
1,C1090 AS27137_Holt-Winters 3,5.76,5.28,inf,1.36
2,C1090 AS27137_FB Prophet,12.29,8.96,inf,2.31
0,C1090 AS27138_SARIMA,7.07,5.91,70.0,2.17
0,C1090 AS46000_SARIMA,24.77,22.16,17.66,0.57
0,C1091 AS27000_SARIMA,17.79,15.83,inf,1.74
1,C1091 AS27000_Holt-Winters 3,10.35,8.16,inf,0.9
2,C1091 AS27000_FB Prophet,27.75,19.28,inf,2.12
0,C1091 AS27132_SARIMA,2.37,1.78,inf,0.82
1,C1091 AS27132_Holt-Winters 3,0.92,0.46,inf,0.21
2,C1091 AS27132_FB Prophet,5.12,4.29,inf,1.96
0,C1091 AS27133_SARIMA,34.24,31.04,inf,1.55
1,C1091 AS27133_Holt-Winters 3,38.39,26.9,inf,1.35
2,C1091 AS27133_FB Prophet,49.42,36.59,inf,1.83
0,C1091 AS27134_SARIMA,2.4,1.79,inf,0.53
2,C1091 AS27134_FB Prophet,3.31,2.66,inf,0.79
0,C1091 AS27137_SARIMA,15.07,11.05,inf,2.46
1,C1091 AS27137_Holt-Winters 3,13.64,11.33,inf,2.52
2,C1091 AS27137_FB Prophet,20.72,19.5,inf,4.33
0,C1091 AS27138_SARIMA,5.21,3.54,inf,1.32
1,C1091 AS27138_Holt-Winters 3,7.08,3.36,inf,1.25
2,C1091 AS27138_FB Prophet,11.78,10.17,inf,3.78
0,C1091 AS46000_SARIMA,1.64,1.01,inf,0.81
1,C1091 AS46000_Holt-Winters 3,0.11,0.11,inf,0.09
2,C1091 AS46000_FB Prophet,3.14,1.52,inf,1.22
0,C1092 AS27000_SARIMA,14.75,12.45,inf,0.54
1,C1092 AS27000_Holt-Winters 3,6.84,5.49,inf,0.24
2,C1092 AS27000_FB Prophet,16.39,14.81,inf,0.65
0,C1092 AS27132_SARIMA,5.25,3.94,inf,0.82
1,C1092 AS27132_Holt-Winters 3,4.4,2.46,inf,0.51
2,C1092 AS27132_FB Prophet,5.53,4.49,inf,0.93
0,C1092 AS27133_SARIMA,55.82,51.96,inf,1.51
1,C1092 AS27133_Holt-Winters 3,64.57,54.15,inf,1.57
2,C1092 AS27133_FB Prophet,67.14,62.67,inf,1.82
0,C1092 AS27134_SARIMA,19.46,13.87,inf,0.41
1,C1092 AS27134_Holt-Winters 3,25.73,22.83,inf,0.67
2,C1092 AS27134_FB Prophet,34.83,31.33,inf,0.92
0,C1092 AS27137_SARIMA,5.93,3.95,inf,1.09
1,C1092 AS27137_Holt-Winters 3,5.76,3.22,inf,0.89
2,C1092 AS27137_FB Prophet,8.26,5.39,inf,1.49
0,C1092 AS27139_SARIMA,13.71,10.68,inf,3.8
1,C1092 AS27139_Holt-Winters 3,17.1,7.85,inf,2.79
2,C1092 AS27139_FB Prophet,13.04,9.22,inf,3.28
0,C1092 AS46000_SARIMA,30.07,19.65,inf,1.09
1,C1092 AS46000_Holt-Winters 3,20.1,12.79,inf,0.71
2,C1092 AS46000_FB Prophet,31.67,24.34,inf,1.35
1,C1093 AS27000_Holt-Winters 3,5.28,4.26,77.67,0.86
0,C1093 AS27133_SARIMA,14.19,10.39,inf,0.82
1,C1093 AS27133_Holt-Winters 3,10.94,9.31,inf,0.74
2,C1093 AS27133_FB Prophet,21.64,16.66,inf,1.32
0,C1093 AS27134_SARIMA,18.88,14.73,inf,0.59
1,C1093 AS27134_Holt-Winters 3,12.52,6.85,inf,0.28
2,C1093 AS27134_FB Prophet,56.93,41.29,inf,1.66
0,C1093 AS27138_SARIMA,10.72,6.31,inf,inf
1,C1093 AS27138_Holt-Winters 3,12.01,5.6,inf,inf
0,C1093 AS46000_SARIMA,1.68,1.08,inf,0.06
1,C1093 AS46000_Holt-Winters 3,1.77,1.05,inf,0.05
2,C1093 AS46000_FB Prophet,42.05,29.9,inf,1.57
0,C1094 AS27000_SARIMA,213.04,139.71,inf,inf
1,C1094 AS27000_Holt-Winters 3,220.06,111.15,inf,inf
1,C1094 AS27137_Holt-Winters 3,2.36,2.27,inf,inf
1,C1094 AS27138_Holt-Winters 3,30.23,29.34,inf,inf
0,C1095 AS27000_SARIMA,5.47,4.68,inf,0.9
1,C1095 AS27000_Holt-Winters 3,4.89,3.21,inf,0.62
2,C1095 AS27000_FB Prophet,9.7,8.67,inf,1.67
0,C1095 AS27132_SARIMA,2.5,1.95,inf,0.59
1,C1095 AS27132_Holt-Winters 3,0.38,0.25,inf,0.08
2,C1095 AS27132_FB Prophet,3.88,2.69,inf,0.81
1,C1095 AS27133_Holt-Winters 3,11.42,10.09,46.31,0.55
0,C1095 AS27134_SARIMA,3.85,3.22,inf,0.58
1,C1095 AS27134_Holt-Winters 3,2.16,1.45,inf,0.26
2,C1095 AS27134_FB Prophet,5.58,4.73,inf,0.85
0,C1095 AS27137_SARIMA,14.48,9.02,inf,1.38
1,C1095 AS27137_Holt-Winters 3,13.59,7.08,inf,1.08
2,C1095 AS27137_FB Prophet,16.56,10.48,inf,1.6
0,C1095 AS27138_SARIMA,4.56,4.04,inf,1.54
1,C1095 AS27138_Holt-Winters 3,5.12,4.07,inf,1.55
2,C1095 AS27138_FB Prophet,7.74,6.81,inf,2.59
0,C1098 AS27000_SARIMA,10.03,7.95,inf,0.83
2,C1098 AS27000_FB Prophet,25.62,23.01,inf,2.39
0,C1098 AS27132_SARIMA,1.24,0.99,inf,1.43
2,C1098 AS27132_FB Prophet,1.73,1.3,inf,1.88
0,C1098 AS27133_SARIMA,11.76,7.49,inf,29.97
2,C1098 AS27133_FB Prophet,18.82,11.44,inf,45.77
1,C1098 AS27134_Holt-Winters 3,0.01,0.01,inf,0.0
2,C1098 AS27134_FB Prophet,13.55,10.36,inf,2.34
0,C1098 AS27137_SARIMA,4.42,2.94,inf,inf
1,C1098 AS27137_Holt-Winters 3,6.4,3.67,inf,inf
0,C1098 AS27138_SARIMA,5.43,3.73,inf,inf
0,C1098 AS17005_SARIMA,0.38,0.32,inf,0.34
1,C1098 AS17005_Holt-Winters 3,0.01,0.01,inf,0.01
2,C1098 AS17005_FB Prophet,1.52,1.32,inf,1.41
1,C1098 AS46000_Holt-Winters 3,0.0,0.0,inf,0.02
2,C1098 AS46000_FB Prophet,0.55,0.43,inf,2.31
0,C1099 AS27133_SARIMA,33.33,11.11,inf,inf
0,C1099 AS27134_SARIMA,27.54,12.49,inf,inf
1,C1099 AS27134_Holt-Winters 3,27.93,11.16,inf,inf
0,C1099 AS27138_SARIMA,21.98,13.97,inf,148.98
2,C1099 AS27138_FB Prophet,37.9,25.67,inf,273.82
0,C1099 AS42018_SARIMA,6.01,2.43,inf,inf
1,C1099 AS42018_Holt-Winters 3,6.01,2.25,inf,inf
0,C1101 AS27000_SARIMA,7.21,5.56,inf,0.99
1,C1101 AS27000_Holt-Winters 3,24.81,21.89,inf,3.89
2,C1101 AS27000_FB Prophet,12.14,10.3,inf,1.83
0,C1101 AS27132_SARIMA,1.77,1.36,inf,1.28
1,C1101 AS27132_Holt-Winters 3,1.23,1.21,inf,1.14
2,C1101 AS27132_FB Prophet,3.34,3.14,inf,2.95
0,C1101 AS27133_SARIMA,7.55,5.46,51.4,8.32
0,C1101 AS27134_SARIMA,2.06,1.65,59.65,0.65
0,C1101 AS27137_SARIMA,1.26,1.03,inf,2.19
1,C1101 AS27137_Holt-Winters 3,1.49,1.18,inf,2.52
2,C1101 AS27137_FB Prophet,1.22,1.09,inf,2.32
2,C1101 AS27139_FB Prophet,0.47,0.26,inf,4.23
0,C1106 AS27000_SARIMA,6.29,4.24,inf,1.0
1,C1106 AS27000_Holt-Winters 3,5.91,2.72,inf,0.65
2,C1106 AS27000_FB Prophet,18.48,11.99,inf,2.84
0,C1106 AS27132_SARIMA,4.65,3.97,inf,1.3
1,C1106 AS27132_Holt-Winters 3,1.6,0.94,inf,0.31
2,C1106 AS27132_FB Prophet,13.01,11.62,inf,3.79
1,C1106 AS27133_Holt-Winters 3,0.0,0.0,inf,0.0
2,C1106 AS27133_FB Prophet,1.76,1.36,inf,2.42
0,C1106 AS27134_SARIMA,13.48,11.39,inf,1.77
2,C1106 AS27134_FB Prophet,23.88,15.98,inf,2.48
0,C1112 AS27000_SARIMA,5.94,5.32,inf,0.44
1,C1112 AS27000_Holt-Winters 3,7.42,6.29,inf,0.51
2,C1112 AS27000_FB Prophet,11.7,9.9,inf,0.81
0,C1112 AS27132_SARIMA,3.84,2.33,inf,1.2
1,C1112 AS27132_Holt-Winters 3,3.39,1.54,inf,0.79
2,C1112 AS27132_FB Prophet,5.41,3.52,inf,1.82
0,C1112 AS27133_SARIMA,22.08,16.14,inf,0.53
1,C1112 AS27133_Holt-Winters 3,40.56,27.37,inf,0.89
2,C1112 AS27133_FB Prophet,28.21,26.47,inf,0.86
0,C1112 AS27134_SARIMA,21.74,17.06,inf,0.78
1,C1112 AS27134_Holt-Winters 3,3.23,1.2,inf,0.05
2,C1112 AS27134_FB Prophet,39.49,24.7,inf,1.13
0,C1112 AS27137_SARIMA,13.93,11.39,inf,1.31
1,C1112 AS27137_Holt-Winters 3,6.18,2.46,inf,0.28
2,C1112 AS27137_FB Prophet,19.58,14.84,inf,1.71
0,C1112 AS27138_SARIMA,7.07,5.33,inf,0.99
1,C1112 AS27138_Holt-Winters 3,9.09,6.58,inf,1.22
2,C1112 AS27138_FB Prophet,8.17,6.59,inf,1.23
0,C1112 AS27139_SARIMA,2.4,1.7,inf,1.75
1,C1112 AS27139_Holt-Winters 3,2.3,0.89,inf,0.92
2,C1112 AS27139_FB Prophet,2.78,1.52,inf,1.57
0,C1112 AS42018_SARIMA,0.0,0.0,inf,0.0
1,C1112 AS42018_Holt-Winters 3,0.13,0.13,inf,0.07
2,C1112 AS42018_FB Prophet,3.59,2.97,inf,1.49
0,C1112 AS46000_SARIMA,38.75,27.67,inf,1.24
1,C1112 AS46000_Holt-Winters 3,24.41,17.17,inf,0.77
2,C1112 AS46000_FB Prophet,53.69,38.56,inf,1.73
0,C1144 AS27000_SARIMA,7.24,5.96,43.54,2.1
0,C1144 AS27132_SARIMA,9.08,5.59,inf,4.47
1,C1144 AS27132_Holt-Winters 3,12.05,4.75,inf,3.8
2,C1144 AS27132_FB Prophet,11.08,7.27,inf,5.82
0,C1144 AS27133_SARIMA,17.72,14.14,34.63,2.09
0,C1144 AS27134_SARIMA,5.93,4.63,inf,0.79
1,C1144 AS27134_Holt-Winters 3,9.4,8.41,inf,1.44
2,C1144 AS27134_FB Prophet,40.91,34.85,inf,5.96
2,C1144 AS27138_FB Prophet,3.9,2.95,48.71,2.42
0,C1144 AS46000_SARIMA,15.01,12.07,inf,2.68
1,C1144 AS46000_Holt-Winters 3,6.57,4.36,inf,0.97
2,C1144 AS46000_FB Prophet,16.46,14.01,inf,3.11
0,C1399 AS27000_SARIMA,19.82,16.9,inf,0.66
1,C1399 AS27000_Holt-Winters 3,13.59,9.19,inf,0.36
2,C1399 AS27000_FB Prophet,26.08,22.6,inf,0.88
0,C1399 AS27132_SARIMA,7.76,5.35,inf,0.53
1,C1399 AS27132_Holt-Winters 3,9.61,5.51,inf,0.54
2,C1399 AS27132_FB Prophet,12.95,9.38,inf,0.92
0,C1399 AS27133_SARIMA,42.72,29.85,inf,0.71
1,C1399 AS27133_Holt-Winters 3,44.99,34.51,inf,0.82
2,C1399 AS27133_FB Prophet,55.12,39.12,inf,0.93
0,C1399 AS27134_SARIMA,20.93,20.01,inf,0.76
