,label,RMSE,MAE,MAPE,MASE
2,C1014 AS27133_FB Prophet,10.24,8.37,inf,26.79
0,C1014 AS27134_SARIMA,0.4,0.39,inf,1.57
2,C1014 AS27134_FB Prophet,0.66,0.53,inf,2.12
0,C1014 AS27137_SARIMA,1.66,1.22,inf,inf
1,C1014 AS27137_Holt-Winters 3,2.17,1.65,inf,inf
0,C1014 AS27138_SARIMA,3.2,2.77,inf,9.85
2,C1014 AS27138_FB Prophet,4.04,3.09,inf,10.98
0,C1014 AS17005_SARIMA,0.32,0.16,inf,inf
0,C1014 AS46000_SARIMA,48.09,18.4,inf,inf
1,C1014 AS46000_Holt-Winters 3,47.96,16.09,inf,inf
0,C1015 AS27000_SARIMA,18.37,14.95,inf,1.09
1,C1015 AS27000_Holt-Winters 3,9.08,7.69,inf,0.56
2,C1015 AS27000_FB Prophet,36.68,32.55,inf,2.37
0,C1015 AS27132_SARIMA,5.07,4.36,inf,0.47
1,C1015 AS27132_Holt-Winters 3,2.38,1.71,inf,0.19
2,C1015 AS27132_FB Prophet,20.36,15.26,inf,1.66
0,C1015 AS27133_SARIMA,7.62,6.14,275.41,1.34
0,C1015 AS27134_SARIMA,16.42,12.03,inf,1.14
1,C1015 AS27134_Holt-Winters 3,13.54,11.96,inf,1.13
2,C1015 AS27134_FB Prophet,23.2,20.57,inf,1.94
0,C1015 AS27137_SARIMA,4.89,3.56,inf,1.29
1,C1015 AS27137_Holt-Winters 3,4.07,2.29,inf,0.83
2,C1015 AS27137_FB Prophet,6.9,5.53,inf,2.01
0,C1015 AS27138_SARIMA,1.46,1.12,inf,0.49
1,C1015 AS27138_Holt-Winters 3,0.81,0.56,inf,0.24
2,C1015 AS27138_FB Prophet,2.88,2.19,inf,0.96
0,C1015 AS27139_SARIMA,0.0,0.0,inf,0.0
1,C1015 AS27139_Holt-Winters 3,0.0,0.0,inf,0.0
2,C1015 AS27139_FB Prophet,2.42,1.64,inf,3.28
0,C1015 AS17005_SARIMA,0.99,0.72,inf,0.64
1,C1015 AS17005_Holt-Winters 3,0.03,0.03,inf,0.02
2,C1015 AS17005_FB Prophet,0.9,0.35,inf,0.31
1,C1015 AS46000_Holt-Winters 3,33.32,25.14,148.14,0.99
0,C1017 AS27133_SARIMA,14.44,9.41,inf,inf
0,C1017 AS27134_SARIMA,0.03,0.03,inf,0.89
2,C1017 AS27134_FB Prophet,0.11,0.1,inf,3.1
